seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	2985534	2985653	120	*	X00136	440556	2976181	2984289	8109	-	1244	upstream	1244	PRDM16-DT
chr1	3539740	3539742	3	*	X00138	127262	3541556	3546694	5139	+	1813	upstream	1813	TPRG1L
chr1	3541703	3542003	301	*	X00139	127262	3541556	3546694	5139	+	0	inside	146	TPRG1L
chr1	3663507	3663656	150	*	X00140	57212	3652548	3663937	11390	-	0	inside	280	TP73-AS1
chr1	3663987	3664121	135	*	X00141	57212	3652548	3663937	11390	-	49	upstream	49	TP73-AS1
chr1	3688852	3688941	90	*	X00142	388588	3689334	3692546	3213	+	392	upstream	392	SMIM1
chr1	3688950	3689113	164	*	X00143	388588	3689334	3692546	3213	+	220	upstream	220	SMIM1
chr1	3689196	3689234	39	*	X00144	388588	3689334	3692546	3213	+	99	upstream	99	SMIM1
chr1	3713211	3713330	120	*	X00145	57470	3696784	3713068	16285	-	142	upstream	142	LRRC47
chr1	3774387	3774566	180	*	X00146	9731	3728645	3773797	45153	-	589	upstream	589	CEP104
chr1	3816553	3816732	180	*	X00147	100133612	3816968	3833879	16912	+	235	upstream	235	LINC01134
chr1	3816553	3816732	180	*	X00147	339448	3805697	3816857	11161	-	0	inside	124	C1orf174
chr1	3816823	3816882	60	*	X00148	100133612	3816968	3833879	16912	+	85	upstream	85	LINC01134
chr1	3816823	3816882	60	*	X00148	339448	3805697	3816857	11161	-	0	overlapStart	0	C1orf174
chr1	3817439	3817573	135	*	X00149	339448	3805697	3816857	11161	-	581	upstream	581	C1orf174
chr1	3817724	3817963	240	*	X00150	339448	3805697	3816857	11161	-	866	upstream	866	C1orf174
chr1	6051104	6051223	120	*	X00151	8514	6052358	6161253	108896	+	1134	upstream	1134	KCNAB2
chr1	6051809	6052158	350	*	X00152	8514	6052358	6161253	108896	+	199	upstream	199	KCNAB2
chr1	6052784	6052873	90	*	X00153	261734	5922870	6052533	129664	-	250	upstream	250	NPHP4
chr1	6052954	6053358	405	*	X00154	261734	5922870	6052533	129664	-	420	upstream	420	NPHP4
chr1	6053574	6053798	225	*	X00155	261734	5922870	6052533	129664	-	1040	upstream	1040	NPHP4
chr1	6296092	6296196	105	*	X00158	23463	6281253	6296044	14792	-	47	upstream	47	ICMT
chr1	6321168	6321237	70	*	X00163	387509	6307406	6321035	13630	-	132	upstream	132	GPR153
chr1	6321673	6321808	136	*	X00164	387509	6307406	6321035	13630	-	637	upstream	637	GPR153
chr1	6453436	6453586	151	*	X00166	11332	6324332	6453826	129495	-	0	inside	239	ACOT7
chr1	6453872	6453976	105	*	X00167	11332	6324332	6453826	129495	-	45	upstream	45	ACOT7
chr1	6640183	6640317	135	*	X00176	3104	6640056	6649340	9285	+	0	inside	126	ZBTB48
chr1	6640337	6640486	150	*	X00177	3104	6640056	6649340	9285	+	0	inside	280	ZBTB48
chr1	6662957	6663076	120	*	X00178	9903	6650779	6662929	12151	-	27	upstream	27	KLHL21
chr1	6673307	6673576	270	*	X00179	148479	6673756	6684093	10338	+	179	upstream	179	PHF13
chr1	6673697	6673831	135	*	X00180	148479	6673756	6684093	10338	+	0	overlapStart	0	PHF13
chr1	6673963	6674802	840	*	X00181	148479	6673756	6684093	10338	+	0	inside	206	PHF13
chr1	6844744	6844863	120	*	X00185	23261	6845384	7829766	984383	+	520	upstream	520	CAMTA1
chr1	6845464	6845598	135	*	X00186	23261	6845384	7829766	984383	+	0	inside	79	CAMTA1
chr1	6845629	6845771	143	*	X00187	23261	6845384	7829766	984383	+	0	inside	244	CAMTA1
chr1	7830942	7831076	135	*	X00192	9341	7831329	7841492	10164	+	252	upstream	252	VAMP3
chr1	7831182	7831316	135	*	X00193	9341	7831329	7841492	10164	+	12	upstream	12	VAMP3
chr1	7843482	7843691	210	*	X00194	8863	7844380	7905237	60858	+	688	upstream	688	PER3
chr1	7843776	7843985	210	*	X00195	8863	7844380	7905237	60858	+	394	upstream	394	PER3
chr1	8085996	8086220	225	*	X00196	54206	8071779	8086393	14615	-	0	inside	172	ERRFI1
chr1	8087308	8087412	105	*	X00197	54206	8071779	8086393	14615	-	914	upstream	914	ERRFI1
chr1	8877300	8877419	120	*	X00204	473	8412464	8877699	465236	-	0	inside	279	RERE
chr1	8877585	8877734	150	*	X00205	473	8412464	8877699	465236	-	0	overlapStart	0	RERE
chr1	9189464	9189755	292	*	X00208	80045	9164476	9189229	24754	-	234	upstream	234	GPR157
chr1	9353157	9353336	180	*	X00218	80176	9352941	9429590	76650	+	0	inside	215	SPSB1
chr1	9648594	9648617	24	*	X00224	199953	9648932	9674935	26004	+	314	upstream	314	TMEM201
chr1	9648823	9648956	134	*	X00225	199953	9648932	9674935	26004	+	0	overlapStart	0	TMEM201
chr1	9884046	9884375	330	*	X00233	22883	9789079	9884550	95472	-	0	inside	174	CLSTN1
chr1	9969998	9970087	90	*	X00234	56998	9908334	9970316	61983	-	0	inside	228	CTNNBIP1
chr1	9970635	9970792	158	*	X00235	56998	9908334	9970316	61983	-	318	upstream	318	CTNNBIP1
chr1	10057136	10057270	135	*	X00236	116362	10057255	10076078	18824	+	0	overlapStart	0	RBP7
chr1	10057511	10057634	124	*	X00237	116362	10057255	10076078	18824	+	0	inside	255	RBP7
chr1	10093060	10093284	225	*	X00238	10277	10093041	10241296	148256	+	0	inside	18	UBE4B
chr1	10458959	10459048	90	*	X00240	5226	10459085	10480201	21117	+	36	upstream	36	PGD
chr1	10532191	10532325	135	*	X00243	1676	10520603	10532613	12011	-	0	inside	287	DFFA
chr1	10534932	10535265	334	*	X00244	5195	10535003	10690815	155813	+	0	overlapStart	0	PEX14
chr1	10856777	10856911	135	*	X00252	54897	10696666	10856733	160068	-	43	upstream	43	CASZ1
chr1	11072269	11072388	120	*	X00255	23435	11072679	11085549	12871	+	290	upstream	290	TARDBP
chr1	11119965	11120057	93	*	X00259	6723	11114649	11120091	5443	-	0	inside	33	SRM
chr1	11120850	11120969	120	*	X00260	6723	11114649	11120091	5443	-	758	upstream	758	SRM
chr1	11160022	11160156	135	*	X00261	5394	11126676	11159938	33263	-	83	upstream	83	EXOSC10
chr1	11322310	11322414	105	*	X00263	2475	11166588	11322608	156021	-	0	inside	193	MTOR
chr1	11333188	11333232	45	*	X00264	29914	11333255	11348491	15237	+	22	upstream	22	UBIAD1
chr1	11714967	11715137	171	*	X00265	26232	11708418	11714888	6471	-	78	upstream	78	FBXO2
chr1	11714868	11714903	36	*	X00266	26232	11708418	11714888	6471	-	0	overlapStart	0	FBXO2
chr1	11715153	11715407	255	*	X00267	26232	11708418	11714888	6471	-	264	upstream	264	FBXO2
chr1	11724335	11724679	345	*	X00268	26270	11724150	11734409	10260	+	0	inside	184	FBXO6
chr1	11751106	11751240	135	*	X00272	374946	11751781	11780336	28556	+	540	upstream	540	DRAXIN
chr1	11751586	11751609	24	*	X00273	374946	11751781	11780336	28556	+	171	upstream	171	DRAXIN
chr1	11751586	11751609	24	*	X00273	10459	11734537	11751678	17142	-	0	inside	68	MAD2L2
chr1	11864961	11865080	120	*	X00277	1185	11866153	11903201	37049	+	1072	upstream	1072	CLCN6
chr1	11866431	11866610	180	*	X00278	1185	11866153	11903201	37049	+	0	inside	277	CLCN6
chr1	11866431	11866610	180	*	X00278	4524	11845787	11866160	20374	-	270	upstream	270	MTHFR
chr1	11994695	11994799	105	*	X00281	5351	11994724	12035599	40876	+	0	overlapStart	0	PLOD1
chr1	11994935	11995039	105	*	X00282	5351	11994724	12035599	40876	+	0	inside	210	PLOD1
chr1	12079027	12079039	13	*	X00285	60672	12079299	12092106	12808	+	259	upstream	259	MIIP
chr1	12226942	12227001	60	*	X00287	7133	12227060	12269277	42218	+	58	upstream	58	TNFRSF1B
chr1	12677827	12677886	60	*	X00298	9249	12627939	12677820	49882	-	6	upstream	6	DHRS3
chr1	15480115	15480355	241	*	X00309	200197	15438311	15478960	40650	-	1154	upstream	1154	TMEM51-AS1
chr1	15573912	15574061	150	*	X00312	114827	15573768	15726778	153011	+	0	inside	143	FHAD1
chr1	15851061	15851407	347	*	X00320	842	15817324	15851285	33962	-	0	overlapStart	0	CASP9
chr1	15851061	15851407	347	*	X00320	23341	15853352	15918874	65523	+	1944	upstream	1944	DNAJC16
chr1	15851584	15851719	136	*	X00321	842	15817324	15851285	33962	-	298	upstream	298	CASP9
chr1	15851584	15851719	136	*	X00321	23341	15853352	15918874	65523	+	1632	upstream	1632	DNAJC16
chr1	15851810	15851944	135	*	X00322	842	15817324	15851285	33962	-	524	upstream	524	CASP9
chr1	15851810	15851944	135	*	X00322	23341	15853352	15918874	65523	+	1407	upstream	1407	DNAJC16
chr1	15851960	15852064	105	*	X00323	842	15817324	15851285	33962	-	674	upstream	674	CASP9
chr1	15851960	15852064	105	*	X00323	23341	15853352	15918874	65523	+	1287	upstream	1287	DNAJC16
chr1	15853603	15853737	135	*	X00324	23341	15853352	15918874	65523	+	0	inside	250	DNAJC16
chr1	15943360	15943494	135	*	X00325	84301	15943953	15987552	43600	+	458	upstream	458	DDI2
chr1	15943990	15944109	120	*	X00326	84301	15943953	15987552	43600	+	0	inside	36	DDI2
chr1	16010165	16010784	620	*	X00327	23207	16010827	16061264	50438	+	42	upstream	42	PLEKHM2
chr1	16174985	16175044	60	*	X00334	729614	16160710	16174642	13933	-	342	upstream	342	FLJ37453
chr1	16175300	16175449	150	*	X00335	729614	16160710	16174642	13933	-	657	upstream	657	FLJ37453
chr1	16176105	16176209	105	*	X00336	729614	16160710	16174642	13933	-	1462	upstream	1462	FLJ37453
chr1	16301983	16302417	435	*	X00339	7709	16268364	16302627	34264	-	0	inside	209	ZBTB17
chr1	16353546	16353680	135	*	X00344	1188	16355621	16383821	28201	+	1940	upstream	1940	CLCNKB
chr1	16353733	16353741	9	*	X00345	1188	16355621	16383821	28201	+	1879	upstream	1879	CLCNKB
chr1	16400313	16400402	90	*	X00349	348487	16384264	16400127	15864	-	185	upstream	185	FAM131C
chr1	16563740	16563814	75	*	X00365	79363	16558182	16563659	5478	-	80	upstream	80	CPLANE2
chr1	16693696	16693815	120	*	X00366	26099	16693525	16724643	31119	+	0	inside	170	SZRD1
chr1	17307797	17307961	165	*	X00375	4237	17300999	17308081	7083	-	0	inside	119	MFAP2
chr1	17445967	17446071	105	*	X00377	11240	17393256	17445948	52693	-	18	upstream	18	PADI2
chr1	17765870	17765959	90	*	X00383	55920	17733251	17766250	33000	-	0	inside	290	RCC2
chr1	17766215	17766264	50	*	X00384	55920	17733251	17766250	33000	-	0	overlapStart	0	RCC2
chr1	17766353	17766364	12	*	X00385	55920	17733251	17766250	33000	-	102	upstream	102	RCC2
chr1	17767158	17767277	120	*	X00386	55920	17733251	17766250	33000	-	907	upstream	907	RCC2
chr1	19283102	19283281	180	*	X00399	126917	19230774	19282826	52053	-	275	upstream	275	IFFO2
chr1	19283807	19283896	90	*	X00400	126917	19230774	19282826	52053	-	980	upstream	980	IFFO2
chr1	19637168	19637287	120	*	X00401	54896	19638740	19658922	20183	+	1452	upstream	1452	SLC66A1
chr1	19637976	19638335	360	*	X00402	54896	19638740	19658922	20183	+	404	upstream	404	SLC66A1
chr1	19811548	19811967	420	*	X00405	832	19665267	19812066	146800	-	0	inside	98	CAPZB
chr1	19812398	19812547	150	*	X00406	832	19665267	19812066	146800	-	331	upstream	331	CAPZB
chr1	19991169	19991258	90	*	X00409	3362	19991780	20006055	14276	+	521	upstream	521	HTR6
chr1	20812318	20812722	405	*	X00417	55450	20808884	20812728	3845	-	0	inside	5	CAMK2N1
chr1	20812732	20812871	140	*	X00418	55450	20808884	20812728	3845	-	3	upstream	3	CAMK2N1
chr1	20879086	20879205	120	*	X00419	163933	20878932	20881513	2582	+	0	inside	153	FAM43B
chr1	21044298	21044417	120	*	X00423	57576	20990507	21044317	53811	-	0	overlapStart	0	KIF17
chr1	21113449	21113523	75	*	X00429	50809	21069171	21113799	44629	-	0	inside	275	HP1BP3
chr1	21502930	21503109	180	*	X00432	8672	21132785	21503381	370597	-	0	inside	271	EIF4G3
chr1	21672718	21672807	90	*	X00442	1889	21543740	21672034	128295	-	683	upstream	683	ECE1
chr1	21835885	21835956	72	*	X00444	249	21835858	21904905	69048	+	0	inside	26	ALPL
chr1	21995313	21995642	330	*	X00448	5909	21922708	21995856	73149	-	0	inside	213	RAP1GAP
chr1	22263353	22263502	150	*	X00452	3339	22148737	22263750	115014	-	0	inside	247	HSPG2
chr1	22263643	22263709	67	*	X00453	3339	22148737	22263750	115014	-	0	inside	40	HSPG2
chr1	22379391	22379570	180	*	X00454	998	22379120	22419436	40317	+	0	inside	270	CDC42
chr1	23036564	23036773	210	*	X00456	2048	23037331	23241823	204493	+	557	upstream	557	EPHB2
chr1	23036834	23036983	150	*	X00457	2048	23037331	23241823	204493	+	347	upstream	347	EPHB2
chr1	23037516	23037635	120	*	X00458	2048	23037331	23241823	204493	+	0	inside	184	EPHB2
chr1	23345295	23345444	150	*	X00463	23028	23345941	23410184	64244	+	496	upstream	496	KDM1A
chr1	23670496	23670825	330	*	X00471	10236	23636276	23670853	34578	-	0	inside	27	HNRNPR
chr1	23671126	23671230	105	*	X00472	10236	23636276	23670853	34578	-	272	upstream	272	HNRNPR
chr1	23671711	23671815	105	*	X00473	10236	23636276	23670853	34578	-	857	upstream	857	HNRNPR
chr1	23671880	23671936	57	*	X00474	10236	23636276	23670853	34578	-	1026	upstream	1026	HNRNPR
chr1	23693971	23694060	90	*	X00475	148898	23695464	23698330	2867	+	1403	upstream	1403	ZNF436-AS1
chr1	23751209	23751241	33	*	X00477	6920	23707555	23751261	43707	-	0	inside	19	TCEA3
chr1	23810660	23811289	630	*	X00480	55616	23755056	23811057	56002	-	0	overlapStart	0	ASAP3
chr1	23857735	23857813	79	*	X00481	1870	23832920	23857712	24793	-	22	upstream	22	E2F2
chr1	23886254	23886403	150	*	X00487	3399	23884421	23886285	1865	-	0	overlapStart	0	ID3
chr1	24104766	24104840	75	*	X00491	57095	24104876	24114722	9847	+	35	upstream	35	PITHD1
chr1	24104766	24104840	75	*	X00491	100506963	24086872	24104787	17916	-	0	overlapStart	0	ELOA-AS1
chr1	24105187	24105321	135	*	X00492	100506963	24086872	24104787	17916	-	399	upstream	399	ELOA-AS1
chr1	24105831	24105950	120	*	X00493	100506963	24086872	24104787	17916	-	1043	upstream	1043	ELOA-AS1
chr1	24117796	24118065	270	*	X00494	11313	24117646	24122029	4384	+	0	inside	149	LYPLA2
chr1	24126996	24127340	345	*	X00499	2582	24122089	24127294	5206	-	0	overlapStart	0	GALE
chr1	24165067	24165201	135	*	X00501	3155	24128367	24165110	36744	-	0	overlapStart	0	HMGCL
chr1	24285739	24285948	210	*	X00502	55629	24286301	24289949	3649	+	352	upstream	352	PNRC2
chr1	24469655	24469789	135	*	X00504	58985	24446261	24469775	23515	-	0	overlapStart	0	IL22RA1
chr1	24513630	24513809	180	*	X00505	163702	24480647	24513765	33119	-	0	overlapStart	0	IFNLR1
chr1	24828721	24828840	120	*	X00507	11123	24828841	24863510	34670	+	0	upstream	0	RCAN3
chr1	24828721	24828840	120	*	X00507	100750325	24822823	24828850	6028	-	0	inside	9	RCAN3AS
chr1	24829208	24829297	90	*	X00508	100750325	24822823	24828850	6028	-	357	upstream	357	RCAN3AS
chr1	24829636	24829710	75	*	X00509	100750325	24822823	24828850	6028	-	785	upstream	785	RCAN3AS
chr1	24968541	24968630	90	*	X00511	10250	24969594	24999772	30179	+	963	upstream	963	SRRM1
chr1	25071485	25071523	39	*	X00516	25932	25071760	25170815	99056	+	236	upstream	236	CLIC4
chr1	25559610	25559714	105	*	X00521	25949	25548767	25559013	10247	-	596	upstream	596	SYF2
chr1	25665118	25665222	105	*	X00525	57035	25568740	25664656	95917	-	461	upstream	461	RSRP1
chr1	25666603	25666692	90	*	X00526	57035	25568740	25664656	95917	-	1946	upstream	1946	RSRP1
chr1	25757332	25757459	128	*	X00527	55219	25757388	25826698	69311	+	0	overlapStart	0	MACO1
chr1	25757332	25757459	128	*	X00527	6006	25688740	25756683	67944	-	648	upstream	648	RHCE
chr1	25758083	25758202	120	*	X00528	6006	25688740	25756683	67944	-	1399	upstream	1399	RHCE
chr1	25869995	25870129	135	*	X00529	26119	25870076	25895377	25302	+	0	overlapStart	0	LDLRAP1
chr1	25943286	25943402	117	*	X00532	57134	25943959	26111258	167300	+	556	upstream	556	MAN1C1
chr1	26126511	26126632	122	*	X00535	57190	26126667	26144713	18047	+	34	upstream	34	SELENON
chr1	26185429	26185623	195	*	X00539	79000	26160497	26185848	25352	-	0	inside	224	AUNIP
chr1	26185924	26186013	90	*	X00540	79000	26160497	26185848	25352	-	75	upstream	75	AUNIP
chr1	26233226	26233345	120	*	X00545	100500808	26232853	26232945	93	-	280	upstream	280	MIR3917
chr1	26233226	26233345	120	*	X00545	3925	26210677	26233368	22692	-	0	inside	22	STMN1
chr1	26324244	26324408	165	*	X00546	5051	26286258	26324648	38391	-	0	inside	239	PAFAH2
chr1	26560560	26560799	240	*	X00547	64793	26560693	26605299	44607	+	0	overlapStart	0	CEP85
chr1	26798217	26798336	120	*	X00559	3151	26798902	26803133	4232	+	565	upstream	565	HMGN2
chr1	26798677	26798871	195	*	X00560	3151	26798902	26803133	4232	+	30	upstream	30	HMGN2
chr1	26855938	26856140	203	*	X00564	6195	26856249	26901520	45272	+	108	upstream	108	RPS6KA1
chr1	26856213	26856252	40	*	X00565	6195	26856249	26901520	45272	+	0	overlapStart	0	RPS6KA1
chr1	27022241	27022330	90	*	X00568	8289	27022522	27108601	86080	+	191	upstream	191	ARID1A
chr1	27022406	27022525	120	*	X00569	8289	27022522	27108601	86080	+	0	overlapStart	0	ARID1A
chr1	27022764	27022913	150	*	X00570	8289	27022522	27108601	86080	+	0	inside	241	ARID1A
chr1	27153007	27153201	195	*	X00577	84243	27153201	27182211	29011	+	0	overlapStart	0	ZDHHC18
chr1	27153333	27153467	135	*	X00578	84243	27153201	27182211	29011	+	0	inside	131	ZDHHC18
chr1	27217301	27217348	48	*	X00584	54707	27205873	27216869	10997	-	431	upstream	431	GPN2
chr1	27320079	27320138	60	*	X00587	388610	27320195	27327377	7183	+	56	upstream	56	TRNP1
chr1	27320169	27320423	255	*	X00588	388610	27320195	27327377	7183	+	0	overlapStart	0	TRNP1
chr1	27481247	27481561	315	*	X00592	6548	27425300	27481621	56322	-	0	inside	59	SLC9A1
chr1	27560695	27560874	180	*	X00593	23038	27561007	27635124	74118	+	132	upstream	132	WDTC1
chr1	27560980	27561054	75	*	X00594	23038	27561007	27635124	74118	+	0	overlapStart	0	WDTC1
chr1	27561235	27561369	135	*	X00595	23038	27561007	27635124	74118	+	0	inside	227	WDTC1
chr1	27648557	27648691	135	*	X00597	84065	27648636	27662891	14256	+	0	overlapStart	0	TMEM222
chr1	27648557	27648691	135	*	X00597	644961	27650365	27653016	2652	+	1673	upstream	1673	ACTG1P20
chr1	27718485	27718694	210	*	X00602	2827	27719148	27722317	3170	+	453	upstream	453	GPR3
chr1	27816581	27816730	150	*	X00604	10163	27730734	27816678	85945	-	0	overlapStart	0	WASF2
chr1	27930043	27930312	270	*	X00615	27245	27860756	27930361	69606	-	0	inside	48	AHDC1
chr1	27930373	27930492	120	*	X00616	27245	27860756	27930361	69606	-	11	upstream	11	AHDC1
chr1	27930732	27930851	120	*	X00617	27245	27860756	27930361	69606	-	370	upstream	370	AHDC1
chr1	27930927	27931156	230	*	X00618	27245	27860756	27930361	69606	-	565	upstream	565	AHDC1
chr1	28098770	28098782	13	*	X00621	23673	28099694	28150963	51270	+	911	upstream	911	STX12
chr1	28198987	28199091	105	*	X00623	9473	28199055	28213193	14139	+	0	overlapStart	0	THEMIS2
chr1	28285950	28286069	120	*	X00625	55113	28286504	28294604	8101	+	434	upstream	434	XKR8
chr1	28414851	28414970	120	*	X00626	2140	28296855	28415148	118294	-	0	inside	177	EYA3
chr1	28559181	28559315	135	*	X00627	22826	28526790	28559542	32753	-	0	inside	226	DNAJC8
chr1	28585343	28585462	120	*	X00629	83667	28585963	28609002	23040	+	500	upstream	500	SESN2
chr1	28585891	28586010	120	*	X00630	83667	28585963	28609002	23040	+	0	overlapStart	0	SESN2
chr1	28879506	28879625	120	*	X00633	54952	28879529	28905057	25529	+	0	overlapStart	0	TRNAU1AP
chr1	28907948	28908082	135	*	X00635	677838	28906276	28906405	130	-	1542	upstream	1542	SNORA61
chr1	28907948	28908082	135	*	X00635	677825	28906893	28907024	132	-	923	upstream	923	SNORA44
chr1	28907948	28908082	135	*	X00635	692073	28907432	28907565	134	-	382	upstream	382	SNORA16A
chr1	28918702	28918779	78	*	X00636	115273	28918712	28921088	2377	+	0	overlapStart	0	RAB42
chr1	28918960	28919094	135	*	X00637	115273	28918712	28921088	2377	+	0	inside	247	RAB42
chr1	28995517	28995741	225	*	X00639	10691	28995240	29042115	46876	+	0	inside	276	GMEB1
chr1	29062988	29063107	120	*	X00640	51441	29063133	29096287	33155	+	25	upstream	25	YTHDF2
chr1	29450261	29450656	396	*	X00645	399474	29445937	29450421	4485	-	0	overlapStart	0	TMEM200B
chr1	29451191	29451325	135	*	X00646	399474	29445937	29450421	4485	-	769	upstream	769	TMEM200B
chr1	29451632	29451801	170	*	X00647	399474	29445937	29450421	4485	-	1210	upstream	1210	TMEM200B
chr1	29562863	29562881	19	*	X00648	10076	29563028	29653325	90298	+	146	upstream	146	PTPRU
chr1	31190743	31191077	335	*	X00653	100129196	31191619	31199593	7975	+	541	upstream	541	MATN1-AS1
chr1	31381095	31381324	230	*	X00656	9672	31342313	31381480	39168	-	0	inside	155	SDC3
chr1	31381712	31381777	66	*	X00657	9672	31342313	31381480	39168	-	231	upstream	231	SDC3
chr1	31769982	31770116	135	*	X00664	51538	31769842	31837780	67939	+	0	inside	139	ZCCHC17
